location,salary_bin,job_count
"Boise, ID, US",Medium,1
"Boise, ID, US",High,0
"Boise, ID, US",Very High,0
"Boise, ID, US",Ultra High,0
"Boise, ID, USA",Low,2
"Boise, ID, USA",Medium,8
"Boise, ID, USA",High,0
"Boise, ID, USA",Very High,0
"Boise, ID, USA",Ultra High,0
"Bolingbrook, IL",Low,0
"Bolingbrook, IL",Medium,1
"Bolingbrook, IL",High,0
"Bolingbrook, IL",Very High,0
"Bolingbrook, IL",Ultra High,0
"Boston Heights, OH, US",Low,0
"Boston Heights, OH, US",Medium,1
"Boston Heights, OH, US",High,0
"Boston Heights, OH, US",Very High,0
"Boston Heights, OH, US",Ultra High,0
"Boston, MA",Low,0
"Boston, MA",Medium,7
"Boston, MA",High,6
"Boston, MA",Very High,1
"Boston, MA",Ultra High,0
"Boston, MA, US",Low,0
"Boston, MA, US",Medium,4
"Boston, MA, US",High,7
"Boston, MA, US",Very High,0
"Boston, MA, US",Ultra High,0
"Boston, MA, USA",Low,0
"Boston, MA, USA",Medium,3
"Boston, MA, USA",High,0
"Boston, MA, USA",Very High,0
"Boston, MA, USA",Ultra High,0
"Boulder, CO",Low,0
"Boulder, CO",Medium,1
"Boulder, CO",High,0
"Boulder, CO",Very High,0
"Boulder, CO",Ultra High,0
"Boulder, CO, US",Low,0
"Boulder, CO, US",Medium,1
"Boulder, CO, US",High,0
"Boulder, CO, US",Very High,0
"Boulder, CO, US",Ultra High,0
"Bourbonnais, IL",Low,0
"Bourbonnais, IL",Medium,1
"Bourbonnais, IL",High,0
"Bourbonnais, IL",Very High,0
"Bourbonnais, IL",Ultra High,0
"Bowie, MD, US",Low,0
"Bowie, MD, US",Medium,0
"Bowie, MD, US",High,1
"Bowie, MD, US",Very High,0
"Bowie, MD, US",Ultra High,0
"Brea, CA",Low,0
"Brea, CA",Medium,0
"Brea, CA",High,1
"Brea, CA",Very High,0
"Brea, CA",Ultra High,0
"Brea, CA, US",Low,1
"Brea, CA, US",Medium,1
"Brea, CA, US",High,0
"Brea, CA, US",Very High,0
"Brea, CA, US",Ultra High,0
"Brea, CA, USA",Low,1
"Brea, CA, USA",Medium,1
"Brea, CA, USA",High,0
"Brea, CA, USA",Very High,0
"Brea, CA, USA",Ultra High,0
"Bremerton, WA, USA",Low,0
"Bremerton, WA, USA",Medium,1
"Bremerton, WA, USA",High,1
"Bremerton, WA, USA",Very High,0
"Bremerton, WA, USA",Ultra High,0
"Bridgewater, NJ, US",Low,0
"Bridgewater, NJ, US",Medium,2
"Bridgewater, NJ, US",High,0
"Bridgewater, NJ, US",Very High,0
"Bridgewater, NJ, US",Ultra High,0
"Brisbane, CA, USA",Low,0
"Brisbane, CA, USA",Medium,1
"Brisbane, CA, USA",High,0
"Brisbane, CA, USA",Very High,0
"Brisbane, CA, USA",Ultra High,0
"Bronx, NY, US",Low,1
"Bronx, NY, US",Medium,0
"Bronx, NY, US",High,0
"Bronx, NY, US",Very High,0
"Bronx, NY, US",Ultra High,0
"Brooklyn, NY",Low,0
"Brooklyn, NY",Medium,0
"Brooklyn, NY",High,0
"Brooklyn, NY",Very High,1
"Brooklyn, NY",Ultra High,0
"Brooklyn, OH",Low,0
"Brooklyn, OH",Medium,2
"Brooklyn, OH",High,0
"Brooklyn, OH",Very High,0
"Brooklyn, OH",Ultra High,0
"Brooklyn, OH, US",Low,0
"Brooklyn, OH, US",Medium,1
"Brooklyn, OH, US",High,0
"Brooklyn, OH, US",Very High,0
